sector,treatment,variable,label,date,posterior_median,lower_95,upper_95,p_gt_0,diagnostics_ready
Secano,M2,n_pct_state,Concentración de N latente (%),Oct,1.4575229832350425,1.3555417865546735,1.5776412893827998,1.0,True
Secano,M2,n_pct_state,Concentración de N latente (%),Nov,1.180993914268409,1.102366813305672,1.2634306407116171,1.0,True
Secano,M3,n_pct_state,Concentración de N latente (%),Sep,2.067033560927812,1.9372807713160447,2.1998095994711657,1.0,True
Secano,M3,n_pct_state,Concentración de N latente (%),Oct,1.510800494423002,1.4005702486191691,1.6232271884000509,1.0,True
Secano,M3,n_pct_state,Concentración de N latente (%),Nov,1.1067073356432613,1.038102400746508,1.1820847221693973,1.0,True
Secano,M4,n_pct_state,Concentración de N latente (%),Sep,2.077450603830573,1.903968741117539,2.25837820685038,1.0,True
Secano,M4,n_pct_state,Concentración de N latente (%),Oct,1.743573921146986,1.6399045189216628,1.852059088912952,1.0,True
Secano,M4,n_pct_state,Concentración de N latente (%),Nov,1.3446539519342018,1.2573052789619972,1.441821714557039,1.0,True
Secano,M5,n_pct_state,Concentración de N latente (%),Sep,1.879980486358916,1.7651790276477963,1.9985428914117211,1.0,True
Secano,M5,n_pct_state,Concentración de N latente (%),Oct,1.7821198812793764,1.6447549278199751,1.9352012831624887,1.0,True
Secano,M5,n_pct_state,Concentración de N latente (%),Nov,1.2199846983391578,1.1341210784587477,1.312872482697332,1.0,True
Riego,M0,n_pct_state,Concentración de N latente (%),Sep,1.2301856394944068,1.1329218419485632,1.3283490848737078,1.0,True
Riego,M0,n_pct_state,Concentración de N latente (%),Oct,1.0531268112200962,0.9983327304145546,1.115253265012315,1.0,True
Riego,M0,n_pct_state,Concentración de N latente (%),Nov,0.873837792267664,0.8220537280356178,0.9307548298346966,1.0,True
Riego,M1,n_pct_state,Concentración de N latente (%),Sep,2.4177992483756654,2.222250404439217,2.609788985509032,1.0,True
Riego,M1,n_pct_state,Concentración de N latente (%),Oct,1.5486949807548376,1.455931904540076,1.6434408765851851,1.0,True
Riego,M1,n_pct_state,Concentración de N latente (%),Nov,1.1146576712764191,1.0431122238906567,1.1937071817745235,1.0,True
Riego,M2,n_pct_state,Concentración de N latente (%),Sep,2.197408356250436,2.0124344541466512,2.4051557524864866,1.0,True
Riego,M2,n_pct_state,Concentración de N latente (%),Oct,1.448757068185315,1.3614915141699095,1.5485515111499328,1.0,True
Riego,M2,n_pct_state,Concentración de N latente (%),Nov,1.1473506832577134,1.0776352972684422,1.2235591826940533,1.0,True
Riego,M3,n_pct_state,Concentración de N latente (%),Sep,1.8713781663210152,1.7284105103277267,2.026611846380545,1.0,True
Riego,M3,n_pct_state,Concentración de N latente (%),Oct,1.344265112191493,1.2614947687413294,1.443527590974379,1.0,True
Riego,M3,n_pct_state,Concentración de N latente (%),Nov,0.9876391884772396,0.9247450112146266,1.055180261854502,1.0,True
Riego,M4,n_pct_state,Concentración de N latente (%),Sep,2.02636361019106,1.8741231215469525,2.197362266689803,1.0,True
Riego,M4,n_pct_state,Concentración de N latente (%),Oct,1.7531311257789124,1.6482257643284624,1.861782164793824,1.0,True
Riego,M4,n_pct_state,Concentración de N latente (%),Nov,1.309283460728074,1.222377351917565,1.402138981354072,1.0,True
Riego,M5,n_pct_state,Concentración de N latente (%),Sep,1.966649441233101,1.833710027955968,2.1109494055268407,1.0,True
Riego,M5,n_pct_state,Concentración de N latente (%),Oct,1.9188458655016687,1.7790578796215135,2.067081656674592,1.0,True
Riego,M5,n_pct_state,Concentración de N latente (%),Nov,1.2726900705466937,1.1837562832275823,1.3714976689749057,1.0,True
Secano,M0,nni_revised,INN revisado latente,Sep,0.5660484594653528,0.5246340774296675,0.6137047655670355,1.0,True
