observation_id,dry_matter_pct_from_weights,dry_matter_abs_difference_pp,dry_matter_relative_difference,dry_matter_issue,biomass_reported_kg_ha,biomass_recorded_dm_kg_ha,biomass_ratio_dm_kg_ha,biomass_recalculation_difference_kg_ha,tiller_density_m2
dm_20250916_secano_m3_r1,10.76923076923077,0.03076923076923066,0.0028490028490028387,false,3764.0,3774.315789473684,3763.5627530364372,10.315789473684163,
dm_20250916_secano_m4_r1,34.06998158379374,0.030018416206260667,0.0008803054605941545,false,7200.0,7205.868421052633,7199.5250557332565,5.868421052632584,
dm_20250916_secano_m5_r1,24.242424242424242,0.04242424242424292,0.0017530678687703687,false,3445.0,3438.947368421053,3444.9760765550236,-6.052631578947057,
dm_20250916_secano_m3_r2,19.67930029154519,0.02069970845480995,0.001050746622071571,false,7136.0,7143.842105263157,7136.33573730244,7.842105263156554,
dm_20250916_secano_m2_r2,22.093023255813954,0.0069767441860477675,0.0003156897821741071,false,11512.0,11515.263157894737,11511.627906976744,3.2631578947366506,
dm_20250916_secano_m4_r2,23.376623376623375,0.02337662337662394,0.000999000999001023,false,5900.0,5905.421052631579,5899.521531100478,5.421052631579187,
dm_20250916_secano_m0_r2,29.411764705882355,0.011764705882356452,0.0004001600640257297,false,3607.0,3605.368421052631,3606.8111455108356,-1.63157894736878,
dm_20250916_secano_m1_r2,21.066907775768538,0.03309222423146352,0.0015683518593110671,false,9619.0,9633.815789473685,9618.706576568004,14.815789473685072,
dm_20250916_secano_m5_r2,22.878932316491895,0.02106768350810384,0.0009199861793931809,false,4311.0,4314.8421052631575,4310.872510160051,3.842105263157464,
dm_20250916_secano_m3_r3,19.75540921919097,0.044590780809031116,0.0022520596368197534,false,6343.0,6356.8421052631575,6342.526117740258,13.842105263157464,
dm_20250916_secano_m4_r3,18.45522898154477,0.04477101845522924,0.002420055051634013,false,5041.0,5053.421052631579,5041.191495485124,12.421052631579187,
dm_20250916_secano_m0_r3,28.9193302891933,0.019330289193302264,0.000668868138176549,false,4422.0,4418.657894736842,4421.613394216134,-3.3421052631583734,
dm_20250916_secano_m1_r3,18.181818181818183,0.018181818181815856,0.0009990009990008713,false,8871.0,8879.684210526315,8870.813397129186,8.684210526314928,
dm_20250916_secano_m5_r3,24.76280834914611,0.037191650853891645,0.0014996633408827275,false,4171.0,4176.842105263158,4170.578248277239,5.842105263158373,
dm_20250916_secano_m2_r3,38.91050583657588,0.010505836575880778,0.0002700729196884519,false,15308.0,15304.078947368424,15308.21216465288,-3.9210526315764582,
dm_20250916_secano_m1_r4,18.991964937910883,0.008035062089117417,0.0004228980046903904,false,7037.0,7039.999999999999,7037.022798046981,2.9999999999990905,
dm_20250916_secano_m0_r4,28.094820017559265,0.005179982440736808,0.00018434101212586504,false,4798.0,4799.184210526317,4798.299524051569,1.1842105263167468,
dm_20250916_secano_m5_r4,23.05721605465414,0.042783945345860275,0.0018521188461411372,false,3343.0,3349.5,3343.296327924851,6.5,
dm_20250916_secano_m4_r4,19.827147941026947,0.0271479410269464,0.0013711081326740605,false,5066.0,5059.421052631579,5066.358065983464,-6.578947368420813,
dm_20250916_secano_m3_r4,19.906323185011708,0.006323185011709143,0.0003177479905381479,false,7124.0,7122.105263157894,7124.368297793663,-1.8947368421058854,
dm_20250916_secano_m2_r4,19.246861924686193,0.0468619246861941,0.0024407252440726097,false,7344.0,7326.315789473685,7344.197313367101,-17.684210526314928,
dm_20250916_riego_m0_r1,27.142857142857142,0.04285714285714093,0.0015814443858723588,false,5179.0,5170.394736842106,5178.571428571428,-8.605263157894115,
dm_20250916_riego_m1_r1,19.66568338249754,0.03431661750245851,0.001741960279312615,false,8234.0,8248.07894736842,8233.71112146147,14.078947368419904,
dm_20250916_riego_m2_r1,23.13624678663239,0.03624678663238967,0.0015691249624411113,false,7915.0,7902.631578947368,7915.031795426871,-12.368421052631675,
dm_20250916_riego_m3_r1,19.541778975741238,0.0417789757412379,0.0021425115764737387,false,6181.0,6168.1578947368425,6181.373244431834,-12.842105263157464,
dm_20250916_riego_m4_r1,20.935960591133004,0.03596059113300498,0.0017206024465552625,false,6688.0,6677.000000000001,6688.488462535649,-10.99999999999909,
dm_20250916_riego_m5_r1,22.851919561243143,0.048080438756855415,0.002099582478465302,false,4354.0,4363.0526315789475,4353.892042721061,9.052631578947512,
dm_20250916_riego_m3_r2,23.92947103274559,0.029471032745590264,0.0012330976044180027,false,5283.0,5276.868421052631,5283.3753148614605,-6.131578947369235,
dm_20250916_riego_m2_r2,20.460358056265985,0.03964194373401497,0.0019337533528787792,false,7926.0,7941.052631578947,7925.696594427245,15.052631578946603,
dm_20250916_riego_m4_r2,21.23730378578024,0.03730378578024229,0.0017596125368038818,false,6064.0,6053.157894736842,6063.8091072556745,-10.842105263158373,
dm_20250916_riego_m0_r2,29.515938606847698,0.015938606847697656,0.0005402917575490731,false,4637.0,4634.605263157894,4637.109302181072,-2.3947368421058854,
dm_20250916_riego_m1_r2,19.830028328611895,0.03002832861189475,0.0015165822531259974,false,7838.0,7826.210526315789,7838.079618309228,-11.789473684210861,
dm_20250916_riego_m5_r2,23.848684210526315,0.04868421052631433,0.0020455550641308544,false,5240.0,5229.736842105263,5240.434556786704,-10.26315789473665,
dm_20250916_riego_m3_r3,20.69672131147541,0.003278688524588347,0.00015839074998011337,false,6046.0,6046.578947368421,6045.621225194133,0.5789473684208133,
dm_20250916_riego_m4_r3,22.06461780929866,0.03538219070134119,0.0016010041041330852,false,6172.0,6182.184210526316,6172.286508232756,10.184210526315837,
dm_20250916_riego_m0_r3,22.821576763485478,0.021576763485477102,0.0009463492756788202,false,4799.0,4794.0,4798.5367984276045,-5.0,
dm_20250916_riego_m1_r3,18.714401952807158,0.014401952807158835,0.000770157904126141,false,7712.0,7706.368421052632,7712.303541604213,-5.631578947368325,
dm_20250916_riego_m5_r3,23.674242424242426,0.025757575757573647,0.001086817542513656,false,8180.0,8188.973684210526,8180.073763955344,8.97368421052579,
dm_20250916_riego_m2_r3,20.293911826452064,0.006088173547937004,0.00029991002699197064,false,8112.0,8114.6578947368425,8112.224227468601,2.657894736842536,
dm_20250916_riego_m1_r4,16.580903373356204,0.01909662664379752,0.001150399195409489,false,6397.0,6404.105263157896,6396.737985615841,7.1052631578959335,
dm_20250916_riego_m0_r4,27.77777777777778,0.022222222222222143,0.0007993605115907246,false,4064.0,4067.5789473684213,4064.327485380117,3.578947368421268,
