Fecha,Muestra,Condición,Tratamiento,Repetición,%MS,KgMS/ha,REG. DE LAB.,% N,% FDA ,% FDN ,KgN/ha,INN,Origen del dato
2025-09-16,31,Secano,M3,R4,19.9,7124,261346,2.181144035976395,31.24372906045157,53.481123807527,155.38470112295838,0.8517551341579283,Medido
2025-09-16,32,Secano,M2,R4,19.2,7344,261347,2.371948496246886,31.63783685360524,53.22848935947164,174.1958975643713,0.9353248459865249,Medido
2025-09-16,33,Riego,M0,R1,27.1,5179,261348,1.052281913168497,27.08489439184268,47.27336303595765,54.49768028299646,0.3710646305473825,Medido
2025-09-16,34,Riego,M1,R1,19.7,8234,261349,2.524765844158015,33.66440416937859,63.96210391643476,207.88921960797094,1.0327027772463695,Medido
2025-09-16,35,Riego,M2,R1,23.1,7915,261350,1.982872748549744,31.02532592862345,53.19411783205788,156.94437804771223,0.8008623937453607,Medido
2025-09-16,36,Riego,M3,R1,19.5,6181,261351,1.97238957487002,31.04825382374363,52.62403711080827,121.91339962271594,0.7360210902386516,Medido
2025-09-16,37,Riego,M4,R1,20.9,6688,261352,1.777484715047562,30.80823743627094,52.0929405598071,118.87817774238093,0.6802357333916786,Medido
2025-09-16,38,Riego,M5,R1,22.9,4354,261353,2.008206977949412,31.30142206846322,52.60134290806164,87.4373318199174,0.6699023947892655,Medido
2025-09-16,39,Riego,M3,R2,23.9,5283,261354,1.616375090693281,29.86423160961399,51.4773257154838,85.39309604132605,0.5736179157259669,Medido
2025-09-16,40,Riego,M2,R2,20.5,7926,261355,2.579342006453015,32.26057720320466,53.41212286403186,204.43864743146597,1.0422334208328108,Medido
2025-09-16,41,Riego,M4,R2,21.2,6064,261356,2.01670650149623,29.61023488710852,50.00401404759409,122.29308225073139,0.7479703846858707,Medido
2025-09-16,42,Riego,M0,R2,29.5,4637,261357,1.375054624939398,31.60753104559947,59.94441512648573,63.761282958439885,0.46803096223794916,Medido
2025-09-16,43,Riego,M1,R2,19.8,7838,261358,1.85391237942391,31.22067734887109,52.88562323094663,145.30965229924607,0.7464378443362771,Medido
2025-09-16,44,Riego,M5,R2,23.8,5240,261359,1.579427841583496,30.80823743627094,52.30708145507915,82.76201889897519,0.5590421631897046,Medido
2025-09-16,45,Riego,M3,R3,20.7,6046,261360,2.09881806175502,30.6831554989075,51.41055142048432,126.8945400137085,0.7776843534154354,Medido
2025-09-16,46,Riego,M4,R3,22.1,6172,261361,2.303153284183426,29.68733430444282,50.51648600482231,142.15062069980107,0.859048925935585,Medido
2025-09-16,47,Riego,M0,R3,22.8,4799,261362,1.582914101342428,28.25295884923525,48.62124331690952,75.96404772342312,0.5447338340116757,Medido
2025-09-16,48,Riego,M1,R3,18.7,7712,261363,2.47166725178461,32.34359067734887,54.26840968654995,190.61497845762912,0.9900159984601359,Medido
2025-09-16,49,Riego,M5,R3,23.7,8180,261364,2.057938500760653,31.20710229608481,61.38834988438413,168.3393693622214,0.839986317671186,Medido
2025-09-16,50,Riego,M2,R3,20.3,8112,261365,2.081325990939031,31.77793882010197,52.88562323094663,168.8371643849742,0.8472660638561502,Medido
2025-09-16,51,Riego,M1,R4,16.6,6397,261366,2.615081946603808,31.55635287691187,53.26287975678792,167.2867921242456,0.9866349540592847,Medido
